"study_family","dataset_count","counted_cohort_rows","origin_types","reuse_readiness_best","Bulk transcriptomics","Single-cell transcriptomics","Spatial transcriptomics","Microbiome","Metagenomics","Metatranscriptomics","Proteomics","Metaproteomics","Metabolomics","DNA methylation / epigenomics","Genetics / GWAS","Multi-omics","dataset_ids"
"IBD_gut_microbiome_dynamics_PRJEB18471","1","1","Public repository accession","Raw data reusable","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS120"
"IBD_peripheral_blood_GSE11499","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS012"
"IBD_predictor_biopsy_GSE36807","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS008"
"IBD_sigmoid_transcriptome_Lawrance2005_GSE1710","1","1","Public repository accession","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS010"
"IBD_spatial_platform_benchmark_GSE312415_GSE312420","2","0","Public repository accession","Processed data reusable","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS118; DS119"
"IIBDGC_NIDDK_GSA_GWAS","1","0","Consortium or atlas","Processed data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","DS035"
"Kellermayer_pediatric_IBD_colon_methylation","2","2","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS030; DS031"
"Leuven_TARGID_IBD_barrier_GSE75214","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS014"
"Leuven_infliximab_UC_Gut2009","1","1","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS063"
"MSCCR_adult_IBD_biopsy_RNAseq","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS003"
"Macrophage_neutrophil_IBD_NatCommun2023","3","3","Public repository accession","Analysis-ready candidate","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS004; DS017; DS018"
"Mount_Sinai_IBD_surgical_bowel_RNAseq","1","1","Public repository accession","Metadata usable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS046"
"NOD2_monocyte_Crohn_RNA_miRNA_GSE69446","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS098"
"PRISM_Broad_stool_multiomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","DS056"
"PROTECT_pediatric_UC","1","0","Consortium or atlas","Metadata usable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS042"
"PROTECT_pediatric_UC_metabolomics","2","1","Consortium or atlas","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","DS027; DS057"
"PROTECT_pediatric_UC_rectal_RNAseq","2","1","Consortium or atlas","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS038; DS039"
"PROgECT_golimumab_UC","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS083"
"PURSUIT-SC_golimumab_UC","1","0","Clinical trial or treatment cohort","Metadata usable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS048"
"RISK_pediatric_Crohn_methylation","1","0","Consortium or atlas","Raw data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","DS121"
"RISK_pediatric_IBD_mucosal_RNAseq","3","0","Consortium or atlas","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS005; DS040; DS041"
"SP140_Crohn_functional_genomics","2","0","Public repository accession","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS095; DS099"
"Serum_metabolomics_CD_UC_controls","1","1","Public repository accession","Processed data reusable","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","DS055"
"UCSD_UC_single_cell_GSE125527","1","1","Consortium or atlas","Raw data reusable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS044"
"UC_FFPE_intestinal_tissue_proteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS080"
"UC_NET_colon_biopsy_proteomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS025"
"UC_active_inactive_mucosa_GSE38713","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS067"
"UC_colon_organoid_GSE102746","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS103"
"UC_colon_protease_N_terminomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS052"
"UC_deep_phenotyping_remission_multiomics","1","1","Public repository accession","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","DS053"
"UC_healed_nonhealed_RNAseq_E-MTAB-9731","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS092"
"UC_inflamed_colon_miRNA_mRNA_GSE48958","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS015"
"UC_mucosal_healing_blood_biomarkers_GSE94648","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS013"
"UC_preinflammatory_mucosa_GSE9452","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS101"
"UNIFI_ustekinumab_UC","1","1","Clinical trial or treatment cohort","Metadata usable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS049"
"UNITI_ustekinumab_Crohn","3","0","Clinical trial or treatment cohort","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS047; DS107; DS109"
"Zhengzhou_IFX_UC_proteomics_PXD030121","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","DS079"
"active_quiescent_UC_DASL_GSE53306","1","1","Public repository accession","Processed data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS108"
"adalimumab_CD_mucosal_response_GSE98820","1","1","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS110"
"anti_TNF_CD_Barcelona_GSE52746","1","1","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS064"
"anti_TNF_CD_IL23R_Erlangen_GSE111761","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS111"
"anti_TNF_TREM1_Leuven_RNAseq_E-MTAB-7604","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS091"
"anti_integrin_UC_single_cell_spatial_multiomics","3","1","Public repository accession","Requires access approval","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","DS114; DS115; DS116"
"colon_inflammation_adenoma_cancer_GSE4183","1","1","Public repository accession","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS066"
"first_infliximab_IBD_GSE16879","1","0","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS061"
"golimumab_UC_pediatric_adult_GSE87473","1","1","Clinical trial or treatment cohort","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS060"
"gut_CD8_TRM_Crohn_GSE160925","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS089"
"pediatric_CD_ileal_epithelial_RNAseq_GSE117875","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS086"
"pediatric_IBD_colon_GSE10616","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS006"
"pediatric_IBD_paired_blood_colon_GSE126124","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS007"
"pediatric_IBD_rectal_ileal_splicing_GSE158952","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS104"
"scIBD_Gut_Cell_Atlas_source_cohort","5","5","Clinical trial or treatment cohort; Consortium or atlas","Analysis-ready candidate","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS020; DS070; DS071; DS074; DS076"
"scIBD_source_cohort","3","3","Consortium or atlas","Analysis-ready candidate","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS072; DS073; DS075"
"terminal_ileal_Crohn_paired_multiomics_GSE171244","1","1","Public repository accession","Analysis-ready candidate","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS094"
"treatment_naive_Crohn_FFPE_RNAseq_GSE221161","1","1","Public repository accession","Requires access approval","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS043"
"vedolizumab_IBD_mucosal_response_E-MTAB-7845","1","1","Clinical trial or treatment cohort","Raw data reusable","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS084"
"vedolizumab_UC_CITEseq_cell_communication_GSE228165","1","1","Clinical trial or treatment cohort","Metadata usable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS113"
"vedolizumab_UC_circulating_immune_scRNAseq_GSE261334","1","1","Clinical trial or treatment cohort","Processed data reusable","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","DS112"
